Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Gene ID	WikiPathways	Reactome Pathways	# Protein Pathway Groups	# Razor Peptides	Abundances (Scaled): F12: Sample, A1	Abundances (Scaled): F8: Sample, A2	Abundances (Scaled): F4: Sample, A3	Abundances (Scaled): F11: Sample, B1	Abundances (Scaled): F7: Sample, B2	Abundances (Scaled): F3: Sample, B3	Abundances (Scaled): F10: Sample, C1	Abundances (Scaled): F6: Sample, C2	Abundances (Scaled): F2: Sample, C3	Abundances (Scaled): F9: Sample, D1	Abundances (Scaled): F5: Sample, D2	Abundances (Scaled): F1: Sample, D3	Abundances (Normalized): F12: Sample, A1	Abundances (Normalized): F8: Sample, A2	Abundances (Normalized): F4: Sample, A3	Abundances (Normalized): F11: Sample, B1	Abundances (Normalized): F7: Sample, B2	Abundances (Normalized): F3: Sample, B3	Abundances (Normalized): F10: Sample, C1	Abundances (Normalized): F6: Sample, C2	Abundances (Normalized): F2: Sample, C3	Abundances (Normalized): F9: Sample, D1	Abundances (Normalized): F5: Sample, D2	Abundances (Normalized): F1: Sample, D3	Abundance: F12: Sample, A1	Abundance: F8: Sample, A2	Abundance: F4: Sample, A3	Abundance: F11: Sample, B1	Abundance: F7: Sample, B2	Abundance: F3: Sample, B3	Abundance: F10: Sample, C1	Abundance: F6: Sample, C2	Abundance: F2: Sample, C3	Abundance: F9: Sample, D1	Abundance: F5: Sample, D2	Abundance: F1: Sample, D3	Found in Sample: [S12] F12: Sample, A1	Found in Sample: [S8] F8: Sample, A2	Found in Sample: [S4] F4: Sample, A3	Found in Sample: [S11] F11: Sample, B1	Found in Sample: [S7] F7: Sample, B2	Found in Sample: [S3] F3: Sample, B3	Found in Sample: [S10] F10: Sample, C1	Found in Sample: [S6] F6: Sample, C2	Found in Sample: [S2] F2: Sample, C3	Found in Sample: [S9] F9: Sample, D1	Found in Sample: [S5] F5: Sample, D2	Found in Sample: [S1] F1: Sample, D3	# Protein Groups	Modifications
FALSE	High	Master Protein	Q2FK44	Formate acetyltransferase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=pflB PE=3 SV=1	0	298.384	60	38	675	38	749	84.8	5.48	966.21	38				Pf01228, Pf02901		SAUSA300_0220	pflB	"Q2FK44; saa:SAUSA300_0220"			0	0	69.2	76.3	77.5	92.8	94	94.2	109.7	116.4	109.9	124.2	117.8	117.9	181342426.9	199777506.5	203069407.5	243103427.5	246163511.8	246806836.7	287386979.7	304837617.9	287769711.4	325375462.2	308626374.3	308874947.2	118267307.3	156366917.5	141371537.1	195198575.3	199001254.3	220920436.5	287386979.7	252764153.2	243464872	290121058.3	268750894.8	304888923.9	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P35579	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	0	294.988	38	64	415	56	1960	226.4	5.6	547.46	64				Pf00063, Pf01576, Pf02736	4627	ENSG00000100345	MYH9	"A8K6E4; hsa:4627; O60805; P35579; Q60FE2; Q86T83"	"Primary focal segmental glomerulosclerosis (FSGS); VEGFA-VEGFR2 signaling; Nephrotic syndrome"	"Regulation of actin dynamics for phagocytic cup formation; FCGR3A-mediated phagocytosis; Sensory processing of sound by inner hair cells of the cochlea; Sensory processing of sound by outer hair cells of the cochlea; Translocation of SLC2A4 (GLUT4) to the plasma membrane; Signaling by ALK fusions and activated point mutants; RHO GTPases activate CIT; EPHA-mediated growth cone collapse; Sema4D induced cell migration and growth-cone collapse; RHO GTPases activate PKNs; RHO GTPases Activate ROCKs; RHO GTPases activate PAKs; CD163 mediating an anti-inflammatory response"	16	8	186.6	191	192.8	125.4	127.7	127.7	52.7	53.8	51.4	30.3	31.7	28.8	82912425.24	84858343.98	85664613.13	55694007.81	56725591.07	56734242.95	23419451.37	23912570.64	22818694.21	13455153.03	14081309.33	12807823.82	54073552.7	66419077.42	59637432.28	44719200.74	45857583.42	50783656.91	23419451.37	19827738.82	19305542.75	11997288.33	12261960.73	12642539.18	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q13813	Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3	0	286.72	34	65	343	65	2472	284.4	5.35	389.46	65				Pf00018, Pf00435, Pf08726, Pf13499	6709	ENSG00000197694	SPTAN1	"hsa:6709; Q13186; Q13813; Q15324; Q16606; Q59EF1; Q5VXV5; Q5VXV6; Q7Z6M5; Q9P0V0"	Fas ligand pathway and stress induction of heat shock proteins	"Neutrophil degranulation; RHOV GTPase cycle; COPI-mediated anterograde transport; Sensory processing of sound by inner hair cells of the cochlea; Sensory processing of sound by outer hair cells of the cochlea; RHOU GTPase cycle; Nephrin family interactions; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Interaction between L1 and Ankyrins; Caspase-mediated cleavage of cytoskeletal proteins"	12	0	198.2	196.7	197.1	125.2	121.5	123.2	49.8	51	53.9	27.8	27.5	28	59069721.09	58633148.7	58760511.48	37314375.67	36202819.26	36730247.96	14856754.19	15214873.82	16059771.05	8289590.325	8201025.885	8337923.188	38523896.35	45892477.52	40907510.07	29961375.05	29266751.97	32877786.21	14856754.19	12615814.03	13587219.05	7391413.912	7141428.045	8230322.503	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O43707	Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	0	285.319	56	43	421	30	911	104.8	5.44	527.33	43				Pf00307, Pf00435, Pf08726	81	"ENSG00000130402; ENSG00000282844"	ACTN4	"A4K467; D6PXK4; hsa:81; O43707; O76048"	"Arrhythmogenic right ventricular cardiomyopathy; Primary focal segmental glomerulosclerosis (FSGS); Focal adhesion; Striated muscle contraction pathway; Ebola virus infection in host; Nephrotic syndrome; Alstrom syndrome"	"Platelet degranulation ; Nephrin family interactions"	9	14	187.1	196.5	192.6	122.6	119.6	127.2	57.3	56	53.4	30.2	29	28.6	116936847.5	122800890.6	120335159.1	76606326.82	74722411.27	79466640.14	35838758.25	34989694.41	33366413.87	18877821.49	18122752.77	17842978.96	76263488.44	96116910.56	83774147.11	61510633.57	60406408.17	71131760.63	35838758.25	29012628.23	28229342.29	16832411.12	15781237.22	17612715.77	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P78527	DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3	0	281.257	23	76	329	76	4128	468.8	7.12	204.79	76				Pf00454, Pf02259, Pf02260, Pf08163, Pf19704, Pf20502	5591	ENSG00000253729	PRKDC	"hsa:5591; P78527; P78528; Q13327; Q13337; Q14175; Q59H99; Q7Z611; Q96SE6; Q9UME3"	"miRNA regulation of DNA damage response; Cell cycle; Retinoblastoma gene in cancer; Fas ligand pathway and stress induction of heat shock proteins; Pathways affected in adenoid cystic carcinoma; ATM signaling in development and disease ; Non-homologous end joining; Osteoblast differentiation and related diseases; DNA repair pathways, full network; DNA damage response"	"E3 ubiquitin ligases ubiquitinate target proteins; Cytosolic sensors of pathogen-associated DNA ; Nonhomologous End-Joining (NHEJ); IRF3-mediated induction of type I IFN"	14	0	192.8	195.3	192.5	126.2	126.9	123.4	47.5	53.2	55.9	30.5	29.1	26.8	53476261.76	54188992.75	53400395.74	35012335.34	35211577	34221979.69	13188619.41	14762071.87	15501787.65	8467482.324	8062632.556	7429108.623	34875972.45	42414013.01	37175939.61	28112964.28	28465420.97	30632598.32	13188619.41	12240361.35	13115142.41	7550031.328	7020915.562	7333236.166	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q01082	Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2	0	265.262	34	59	299	59	2364	274.4	5.57	254.06	59				Pf00169, Pf00307, Pf00435	6711	ENSG00000115306	SPTBN1	"B2RP63; hsa:6711; O60837; Q01082; Q16057; Q53R99; Q59ER3; Q8IX99"	Sudden infant death syndrome (SIDS) susceptibility pathways	"RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Signaling by FLT3 fusion proteins; COPI-mediated anterograde transport; Sensory processing of sound by inner hair cells of the cochlea; Sensory processing of sound by outer hair cells of the cochlea; RHOV GTPase cycle; RHOU GTPase cycle; Nephrin family interactions; Interaction between L1 and Ankyrins"	11	0	193.1	196	195.2	123.3	124.1	130.8	49.9	51.5	51.6	28.8	28	27.8	51046031.31	51816476.35	51593195.15	32587055.77	32798418.08	34572716.47	13181379.11	13623059.1	13633032.64	7600985.608	7394778.199	7341425.917	33291032.75	40557031.8	35917814.48	26165599.24	26514597.11	30946547.98	13181379.11	11295918.86	11534099.72	6777419.458	6439350.047	7246685.003	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	A0A0H2XHX6	Glyceraldehyde-3-phosphate dehydrogenase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=gap PE=3 SV=1	0	264.692	73	24	2224	24	336	36.3	5.05	4626.61	24				Pf00044, Pf02800		SAUSA300_0756	gap	"A0A0H2XHX6; saa:SAUSA300_0756"			0	0	84.2	76.1	77.3	95.1	95	97.1	113.7	105.8	112.5	111.7	113	118.5	964965722.7	872113326.7	885556707	1090584538	1089501557	1113271583	1303162633	1212353230	1289428678	1280712061	1295416977	1358364400	629328170.1	682607742	616501099.1	875678924.6	880764881.8	996505799.6	1303162633	1005254666	1090909069	1141947017	1128045108	1340834742	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	A0A0H2XEE7	Nitrate reductase (quinone) OS=Staphylococcus aureus (strain USA300) OX=367830 GN=SAUSA300_2343 PE=3 SV=1	0	247.023	48	43	436	43	1229	139.7	6.27	464.42	43				Pf00384, Pf01568, Pf14710		SAUSA300_2343		"A0A0H2XEE7; saa:SAUSA300_2343"			0	0	73.6	72.7	72.1	95.2	95.5	96.1	112.9	113.6	112.8	121.5	115.9	118.1	51504076.1	50936030.38	50458814.45	66623564.65	66840826.93	67315014.27	79050453.22	79569655.97	78962369.69	85103077.82	81156978.36	82667051.67	33589758.89	39867902.05	35128088.71	53495028.97	54034849.86	60254661.24	79050453.22	65977279.48	66805374.12	75882166.51	70671246.44	81600235.48	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q2FJM6	Inosine-5'-monophosphate dehydrogenase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=guaB PE=3 SV=1	0	241.167	69	33	1030	33	488	52.8	5.88	1136.98	33				Pf00478, Pf00571	66838696	SAUSA300_0388	guaB	"Q2FJM6; saa:SAUSA300_0388"			0	0	73.6	74.8	73.8	94.2	101	94.3	113.4	108.4	108.4	122	118.3	117.6	330036721.1	335537969.4	331027928.8	422139517.4	452980467.6	422896941.3	508580839.9	485802972.6	486068308.3	547044398.6	530459049.2	527395486.5	215242262.9	262627354.3	230452866.9	338954630.1	366194325.8	378541284.1	508580839.9	402816351.3	411233544.7	487772184.1	461922103.9	520589461.2	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q2FGF8	Glycine--tRNA ligase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=glyQS PE=3 SV=1	0	240.272	69	26	490	26	463	53.6	5.12	940.39	26				Pf00587, Pf03129		SAUSA300_1525	glyQS	"Q2FGF8; saa:SAUSA300_1525"			0	0	75.9	74.5	73.7	99	95.6	90.4	111.2	113.8	109.9	120.7	118.5	116.9	139654520.9	137030441.8	135701495.2	182130416	175832738.8	166340842.9	204620020.6	209389541.4	202261396.3	222109666.5	217983379.1	215180857.6	91079425.93	107254456.1	94471782.87	146240627.2	142145094.2	148894139.7	204620020.6	173620862.5	171121362	198044102.8	189819254.1	212403954.1	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	A0A0H2XHC4	2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=gpmI PE=3 SV=1	0	230.415	82	27	508	27	505	56.4	4.88	833.61	27				Pf01676, Pf06415		SAUSA300_0759	gpmI	"A0A0H2XHC4; saa:SAUSA300_0759"			0	0	79.1	74.9	76.7	93.8	92.4	95.9	111.2	110.1	115.8	114.7	117.8	117.7	218816218.5	207013777.2	212031996	259446027.1	255407439.8	265059461.2	307368850.7	304321695.2	320194019.3	317046494	325578784.1	325392458.7	142706841.4	162030785.1	147611053.7	208320776.7	206474146.1	237258629.7	307368850.7	252336362.3	270897154.4	282694533.1	283513001	321193277.4	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q2FJB5	ATP-dependent Clp protease ATP-binding subunit ClpC OS=Staphylococcus aureus (strain USA300) OX=367830 GN=clpC PE=3 SV=1	0	223.562	52	37	503	36	818	91	5.73	731	37				Pf00004, Pf02861, Pf07724, Pf10431, Pf17871		SAUSA300_0510	clpC	"Q2FJB5; saa:SAUSA300_0510"			0	1	72.5	72	75	94.1	92.9	92	114.2	114.5	114.2	119.1	122.1	117.3	85406547.06	84838491.18	88426460.15	110885435.1	109431554	108451300.8	134579029	134961872.3	134507212.8	140321981.1	143843739.2	138257102.1	55700160.86	66403538.53	61560156.95	89034857.14	88465655.83	97076357.54	134579029	111907197.1	113798569	125118106.2	125258684.4	136472897.8	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P05783	Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2	0	222.085	59	33	718	31	430	48	5.45	1011.71	33				Pf00038	3875	ENSG00000111057	KRT18	"hsa:3875; P05783; Q53G38; Q5U0N8; Q9BW26"	Pathogenic Escherichia coli infection	Formation of the cornified envelope	3	2	195.3	190.6	192.8	116.2	121.6	118.8	56.4	56.7	54.9	33.5	31.8	31.3	1314222667	1282862940	1297477506	781766375.6	818308630.7	799640642.2	379564037.4	381723795.8	369430753.1	225353838.8	213717498	210641707.1	857105414.8	1004103651	903269437.4	627715060.4	661529577.5	715770122.5	379564037.4	316516356.1	312553432.3	200936769.3	186104538	207923381.3	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	A0A0H2XES4	Ribonucleoside-diphosphate reductase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=SAUSA300_0716 PE=3 SV=1	0	216.72	44	26	495	26	701	80.1	5.36	782.63	26				Pf00317, Pf02867, Pf08343		SAUSA300_0716		"A0A0H2XES4; saa:SAUSA300_0716"			0	0	78.3	79.1	74.4	89.3	100.7	94.8	108	114.7	104.7	119.5	120.9	115.7	64614115.9	65274430.88	61402172.46	73668378.35	83081801.68	78214998.26	89105555.45	94610976.17	86383806.9	98638943.66	99730006.97	95484942.95	42139821.52	51090644.42	42746564.4	59151623.83	67164230.09	70011397.54	89105555.45	78449186.95	73084211.64	87951422.43	86844582.46	94252712.2	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q2FG27	Acetate kinase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=ackA PE=3 SV=1	0	216.393	64	21	624	21	400	44	6	999.09	21				Pf00871		SAUSA300_1657	ackA	"Q2FG27; saa:SAUSA300_1657"			0	0	79.6	73.3	76.3	92.5	91.4	98.3	109.1	109.3	114.6	118.6	117.7	119.4	264527315	243404087.9	253510343.7	307143152.1	303664947.1	326548606	362411622	362975995.4	380827638.7	393872804	391107000.2	396514808.4	172518553.9	190513674.9	176487179.5	246618923.9	245486038.7	292298469.4	362411622	300971122.8	322195660.8	351196718.9	340574769.5	391397795	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q2FGE3	Chaperone protein DnaK OS=Staphylococcus aureus (strain USA300) OX=367830 GN=dnaK PE=3 SV=1	0	215.031	57	30	577	29	610	66.3	4.78	848.27	30				Pf00012		SAUSA300_1540	dnaK	"Q2FGE3; saa:SAUSA300_1540"			0	1	76.8	73.6	77.7	93.9	95.9	92.8	108.5	108.3	115.9	121.3	119.7	115.6	239569734.9	229744093.8	242517161.7	292839348.4	299275333.5	289621530.8	338355603.5	337945962.7	361418628.3	378342671	373366196.6	360498992.6	156241801.5	179821924.8	168834017.7	235133762.5	241937427.4	259244500.1	338355603.5	280216810.8	305774849.1	337349274.5	325126132.4	355846762.3	High	High	High	High	High	High	High	High	High	High	High	High	1	
